TeamID,HomeWins,HomeLosses,AwayWins,AwayLosses,NeutralWins,NeutralLosses,TotalWins,TotalLosses,OpponentHomeWins,OpponentHomeLosses,OpponentAwayWins,OpponentAwayLosses,OpponentNeutralWins,OpponentNeutralLosses,OpponentTotalWins,OpponentTotalLosses,TeamName,Ranking,Quadrant
115,16,1,7,3,6,1,29,5,226,95,109,152,35,45,370,292,Houston,1.0,1
4,13,4,4,7,2,2,19,13,314,80,146,126,75,52,535,258,Alabama,2.0,1
313,14,1,8,4,3,2,25,7,189,89,91,120,37,31,317,240,UCLA,3.0,1
292,16,0,6,5,4,2,26,7,276,106,114,162,58,45,448,313,Tennessee,4.0,1
238,16,1,5,5,6,1,27,7,232,117,110,165,45,44,387,326,Purdue,5.0,1
105,16,1,5,1,5,1,26,3,198,101,106,164,35,34,339,299,Gonzaga,6.0,1
295,16,3,4,7,1,1,21,11,214,98,83,166,50,36,347,300,Texas,7.0,1
58,14,2,5,5,4,2,23,9,202,89,99,154,36,32,337,275,UConn,8.0,1
134,16,1,6,4,6,1,28,6,256,84,103,132,45,34,404,250,Kansas,9.0,1
10,17,0,9,3,5,0,31,3,210,114,110,140,39,38,359,292,Arizona,10.0,1
280,15,0,6,4,3,3,24,7,212,76,124,125,48,39,384,240,Saint Mary's (CA),11.0,1
159,13,3,4,7,2,2,19,12,215,93,100,137,33,40,348,270,Marquette,12.0,1
89,11,5,4,8,1,1,16,14,164,118,99,170,31,40,294,328,Fla. Atlantic,13.0,1
254,14,1,5,5,4,2,23,8,194,89,100,142,43,34,337,265,San Diego St.,14.0,1
20,15,2,8,3,3,1,26,6,223,86,95,164,48,44,366,294,Baylor,15.0,1
76,15,3,9,2,4,1,28,6,244,120,119,167,40,49,403,336,Duke,16.0,1
61,11,4,6,5,5,2,22,11,205,99,93,146,30,34,328,279,Creighton,17.0,1
324,8,6,4,7,5,2,17,15,207,83,104,147,60,31,371,261,Utah St.,18.0,1
296,12,4,5,5,5,3,22,12,251,111,97,180,49,52,397,343,Texas A&M;,19.0,1
128,14,5,4,6,2,1,20,12,211,99,78,190,49,32,338,321,Iowa St.,20.0,1
14,17,2,5,4,3,2,25,8,265,115,106,188,47,57,418,360,Arkansas,21.0,1
356,13,5,4,6,1,2,18,13,211,90,103,132,47,37,361,259,Xavier,22.0,1
165,13,2,5,6,3,2,21,10,207,91,82,128,36,42,325,261,Memphis,23.0,1
135,9,7,5,7,0,3,14,17,210,106,71,162,38,36,319,304,Kansas St.,24.0,1
345,12,5,1,11,3,1,16,17,241,91,98,144,48,32,387,267,West Virginia,25.0,1
138,18,0,6,5,2,2,26,7,273,113,130,177,47,49,450,339,Kentucky,26.0,1
334,10,6,6,6,3,1,19,13,236,124,112,169,43,44,391,337,Virginia,27.0,1
290,13,4,4,6,3,2,20,12,200,100,75,165,49,35,324,300,TCU,28.0,1
25,12,3,8,3,6,1,26,7,204,100,85,159,42,34,331,293,Boise St.,29.0,1
124,14,4,3,8,3,1,20,13,222,116,106,168,38,34,366,318,Indiana,30.0,1
161,10,8,3,7,2,2,15,17,250,109,112,163,53,38,415,310,Maryland,31.0,1
17,16,0,8,3,3,2,27,5,281,115,112,166,62,52,455,333,Auburn,32.0,1
171,12,3,5,6,5,3,22,12,253,107,110,160,59,29,422,296,Michigan St.,33.0,1
121,13,3,7,4,2,2,22,9,236,104,103,164,44,37,383,305,Illinois,34.0,1
168,10,5,10,2,3,3,23,10,256,118,106,184,42,46,404,348,Miami (FL),35.0,1
223,7,5,8,6,1,1,16,12,124,79,75,144,26,22,225,245,Oral Roberts,36.0,1
197,6,7,3,9,3,2,12,18,197,85,90,134,49,34,336,253,Nevada,37.0,1
210,11,2,9,1,2,3,22,6,188,83,100,135,33,43,321,261,North Texas,38.0,1
127,15,3,6,6,5,0,26,9,223,110,110,172,54,29,387,311,Iowa,39.0,1
246,14,3,4,9,0,1,18,13,214,128,97,174,41,30,352,332,Rutgers,40.0,1
214,9,6,3,8,2,2,14,16,210,105,79,156,39,30,328,291,Northwestern,41.0,1
175,7,8,2,10,2,3,11,21,272,111,105,167,48,51,425,329,Missouri,42.0,1
221,10,6,3,8,2,1,15,15,228,87,94,139,41,31,363,257,Oklahoma St.,43.0,1
143,10,3,7,4,2,4,19,11,172,99,99,206,22,31,293,336,Liberty,44.0,1
194,7,10,4,7,0,4,11,21,250,122,121,183,48,50,419,355,NC State,45.0,1
207,15,2,8,3,1,4,24,9,258,115,128,161,46,52,432,328,North Carolina,46.0,1
224,12,5,5,5,1,4,18,14,225,85,105,129,42,39,372,253,Oregon,47.0,1
228,10,5,1,10,3,2,14,17,212,105,100,135,39,30,351,270,Penn St.,48.0,1
174,15,3,1,9,2,3,18,15,269,106,112,187,61,41,442,334,Mississippi St.,49.0,1
320,13,3,9,3,4,1,26,7,208,112,85,160,29,39,322,311,Southern California,50.0,1
53,9,6,7,8,1,1,17,15,151,91,103,162,28,36,282,289,Col. of Charleston,51.0,2
219,13,3,5,6,1,2,19,11,231,102,106,136,51,35,388,273,Ohio St.,52.0,2
331,11,4,9,2,1,3,21,9,241,97,118,158,50,45,409,300,VCU,53.0,2
199,9,7,2,9,0,3,11,19,205,75,112,134,59,29,376,238,New Mexico,54.0,2
74,12,3,8,2,2,5,22,10,161,93,89,159,28,42,278,294,Drake,55.0,2
237,16,1,7,2,2,2,25,5,214,96,106,140,38,28,358,264,Providence,56.0,2
306,14,2,7,4,4,1,25,7,189,112,95,189,43,35,327,336,UAB,57.0,2
126,14,0,7,4,4,3,25,7,175,89,125,150,39,26,339,265,Iona,58.0,2
137,9,4,8,4,4,2,21,10,147,86,98,160,23,25,268,271,Kent St.,59.0,2
50,11,5,3,8,3,3,17,16,251,126,117,166,40,51,408,343,Clemson,60.0,2
170,10,5,6,7,1,2,17,14,258,86,111,146,48,35,417,267,Michigan,61.0,2
90,12,5,4,6,3,2,19,13,270,127,100,191,47,51,417,369,Florida,62.0,2
298,18,0,3,7,4,2,25,9,212,92,85,178,42,28,339,298,Texas Tech,63.0,2
