Rank,Previous,School,Conference,Record,Road,Neutral,Home,Quad 1,Quad 2,Quad 3,Quad 4
1,1,Houston,AAC,31-3,11-0,4-1,16-2,7-2,8-0,7-1,9-0
2,2,Alabama,SEC,29-5,9-3,5-2,15-0,13-5,6-0,7-0,3-0
3,3,UCLA,Pac-12,29-5,9-2,3-3,17-0,8-5,9-0,5-0,7-0
4,4,Tennessee,SEC,23-10,4-6,5-2,14-2,7-7,3-3,6-0,7-0
5,5,Purdue,Big Ten,29-5,8-3,7-0,14-2,10-4,9-1,5-0,5-0
6,6,Gonzaga,WCC,27-5,7-2,6-2,14-1,6-4,5-0,8-1,8-0
7,7,Texas,Big 12,26-8,4-6,5-1,17-1,14-8,4-0,1-0,7-0
8,8,UConn,Big East,25-8,6-5,4-1,15-2,7-6,6-1,4-1,8-0
9,9,Kansas,Big 12,27-7,7-4,5-2,15-1,17-7,4-0,3-0,3-0
10,10,Arizona,Pac-12,28-6,6-4,7-0,15-2,9-2,7-4,5-0,7-0
11,11,Saint Mary's (CA),WCC,25-7,6-2,4-3,15-2,2-3,7-2,11-2,5-0
12,12,Marquette,Big East,28-6,9-4,3-1,16-1,8-5,6-0,6-1,8-0
13,13,Fla. Atlantic,C-USA,29-3,11-3,3-0,15-0,2-1,4-2,11-0,12-0
14,14,San Diego St.,Mountain West,26-6,8-2,4-3,14-1,5-5,6-1,13-0,2-0
15,15,Baylor,Big 12,22-10,5-5,3-2,14-3,11-10,4-0,0-0,7-0
16,16,Duke,ACC,26-8,4-6,6-2,16-0,5-6,7-2,4-0,10-0
17,17,Creighton,Big East,21-12,5-6,3-4,13-2,3-9,7-2,5-1,6-0
18,19,Utah St.,Mountain West,25-8,6-4,6-2,13-2,2-5,9-1,13-0,1-2
19,18,Texas A&M;,SEC,25-9,7-4,3-4,15-1,7-6,5-1,6-0,7-2
20,20,Iowa St.,Big 12,19-13,3-8,3-2,13-3,10-11,2-2,1-0,6-0
21,21,Arkansas,SEC,20-13,2-8,4-2,14-3,4-10,4-2,10-1,2-0
22,22,Xavier,Big East,25-9,7-4,3-3,15-2,9-6,4-2,4-1,8-0
23,29,Memphis,AAC,26-8,7-5,6-1,13-2,4-4,9-3,7-1,6-0
24,23,Kansas St.,Big 12,23-9,4-7,3-1,16-1,9-8,4-1,3-0,7-0
25,24,West Virginia,Big 12,19-14,3-8,3-2,13-4,6-13,6-1,1-0,6-0
26,25,Kentucky,SEC,21-11,6-4,1-3,14-4,6-7,6-1,3-2,6-1
27,26,Virginia,ACC,25-7,6-5,4-1,15-1,5-5,6-1,5-1,9-0
28,28,TCU,Big 12,21-12,3-7,5-1,13-4,8-11,5-0,0-0,8-1
29,27,Boise St.,Mountain West,23-9,6-6,4-2,13-1,3-5,9-2,6-2,5-0
30,30,Indiana,Big Ten,22-11,5-7,2-2,15-2,6-9,6-2,4-0,6-0
31,31,Maryland,Big Ten,21-12,2-9,3-2,16-1,3-10,6-2,3-0,9-0
32,32,Auburn,SEC,20-12,4-8,2-2,14-2,3-10,6-1,8-1,3-0
33,33,Michigan St.,Big Ten,19-12,5-7,2-3,12-2,5-9,8-2,2-1,4-0
34,34,Illinois,Big Ten,20-12,3-7,2-3,15-2,2-11,7-1,4-0,7-0
35,35,Miami (FL),ACC,25-7,7-4,2-2,16-1,5-5,6-0,7-1,7-1
