Rank,Previous,School,Conference,Record,Road,Neutral,WAB,Quad 1,Quad 2,Quad 3,Quad 4
1,1,Duke,ACC,31-3,10-1,4-2,6,9-3,7-0,10-0,5-0
2,2,Auburn,SEC,28-5,8-2,7-1,1,16-5,6-0,2-0,4-0
3,3,Houston,Big 12,30-4,10-0,4-3,2,14-3,6-1,5-0,5-0
4,4,Florida,SEC,29-4,7-3,7-0,3,10-4,9-0,4-0,6-0
5,6,Tennessee,SEC,27-6,6-5,5-0,5,11-6,5-0,5-0,6-0
6,5,Alabama,SEC,25-8,9-3,4-2,4,11-8,8-0,4-0,2-0
7,7,Texas Tech,Big 12,25-8,8-2,2-3,15,10-5,3-3,6-0,6-0
8,8,Gonzaga,WCC,25-8,8-2,4-4,35,5-5,5-3,5-0,10-0
9,10,Iowa St.,Big 12,24-9,6-5,3-2,18,10-7,6-2,3-0,5-0
10,9,Maryland,Big Ten,25-8,5-5,3-1,19,8-7,6-1,3-0,8-0
11,11,Michigan St.,Big Ten,27-6,8-2,4-3,7,13-5,5-1,5-0,4-0
12,12,Arizona,Big 12,22-12,6-5,3-4,16,10-11,4-1,4-0,4-0
13,13,St. John's (NY),Big East,30-4,8-2,4-2,8,6-4,11-0,7-0,6-0
14,15,Wisconsin,Big Ten,26-8,6-5,6-0,10,8-7,10-1,2-0,6-0
15,14,Kentucky,SEC,22-11,4-6,3-2,9,11-10,1-1,4-0,6-0
16,16,Missouri,SEC,22-11,3-7,1-2,24,7-11,3-0,4-0,8-0
17,17,Illinois,Big Ten,21-12,5-5,3-3,25,8-10,7-2,0-0,6-0
18,18,Texas A&M;,SEC,22-10,5-5,4-2,11,7-9,9-1,1-0,5-0
19,19,Purdue,Big Ten,22-11,5-6,3-3,20,7-10,9-1,2-0,4-0
20,20,Kansas,Big 12,21-12,4-8,3-1,26,6-11,7-1,5-0,3-0
21,21,Saint Mary's (CA),WCC,27-5,9-1,3-3,27,4-3,6-2,7-0,10-0
22,22,Clemson,ACC,27-6,9-3,3-1,22,5-3,8-2,8-1,6-0
23,23,Louisville,ACC,27-7,9-2,4-2,17,4-6,11-1,7-0,5-0
24,24,BYU,Big 12,24-9,6-5,3-2,21,8-7,6-2,4-0,6-0
