Rank,Previous,School,Conference,Record,Road,Neutral,Home,Quad 1,Quad 2,Quad 3,Quad 4
1,1,UConn,Big East,31-3,10-2,8-0,13-1,5-3,7-0,10-0,9-0
2,2,South Carolina,SEC,30-3,8-2,8-0,14-1,16-3,4-0,3-0,7-0
3,3,Texas,SEC,31-3,10-2,6-1,15-0,14-3,4-0,4-0,9-0
4,4,UCLA,Big Ten,30-2,10-1,8-0,12-1,13-2,5-0,3-0,9-0
5,5,Notre Dame,ACC,26-5,11-1,1-3,14-1,6-5,9-0,3-0,8-0
6,6,Southern California,Big Ten,28-3,9-1,5-1,14-1,13-3,3-0,4-0,8-0
7,7,Duke,ACC,26-7,8-6,5-0,13-1,8-5,8-2,6-0,4-0
8,8,TCU,Big 12,31-3,7-2,5-1,19-0,8-3,4-0,5-0,14-0
9,9,Kansas St.,Big 12,26-7,6-4,3-2,17-1,2-6,3-1,9-0,12-0
10,10,LSU,SEC,28-5,6-3,5-1,17-1,6-5,7-0,2-0,13-0
11,11,Ole Miss,SEC,20-10,7-3,2-3,11-4,6-9,2-0,3-1,9-0
12,12,West Virginia,Big 12,24-7,5-5,3-2,16-0,2-5,4-2,5-0,13-0
13,13,Oklahoma,SEC,25-7,8-3,4-2,13-2,7-7,3-0,3-0,12-0
14,14,Tennessee,SEC,22-9,5-4,4-1,13-4,6-8,4-0,3-0,9-1
15,15,Baylor,Big 12,27-7,8-2,4-3,15-2,3-6,7-1,4-0,13-0
16,16,NC State,ACC,26-6,7-3,3-3,16-0,8-6,3-0,8-0,7-0
17,17,Alabama,SEC,23-8,6-5,4-1,13-2,5-7,4-1,3-0,11-0
18,18,Kentucky,SEC,22-7,6-4,2-1,14-2,5-6,4-0,4-1,9-0
19,19,Ohio St.,Big Ten,24-6,6-5,4-1,14-0,5-5,7-0,3-1,9-0
20,20,North Carolina,ACC,27-7,9-1,6-2,12-4,7-5,5-1,7-1,8-0
