TeamID,HomeWins,HomeLosses,AwayWins,AwayLosses,NeutralWins,NeutralLosses,TotalWins,TotalLosses,OpponentHomeWins,OpponentHomeLosses,OpponentAwayWins,OpponentAwayLosses,OpponentNeutralWins,OpponentNeutralLosses,OpponentTotalWins,OpponentTotalLosses,TeamName
116,17,2,11,0,3,1,31,3,227,96,108,158,64,42,399,296,Houston
53,16,1,11,2,3,0,30,3,184,117,102,219,46,47,332,383,Col_Charleston
318,17,0,9,2,3,3,29,5,226,95,85,166,46,45,357,306,UCLA
90,15,0,11,3,3,0,29,3,158,90,84,161,34,29,276,280,FL_Atlantic
4,15,0,9,3,5,2,29,5,304,86,123,167,74,53,501,306,Alabama
240,15,2,8,3,6,0,29,5,259,101,102,163,58,47,419,311,Purdue
10,15,2,6,4,7,0,28,6,235,77,96,158,50,47,381,282,Arizona
161,16,1,8,4,4,1,28,6,204,93,87,167,37,37,328,297,Marquette
106,14,1,7,2,6,2,27,5,242,84,113,156,53,38,408,278,Gonzaga
135,15,1,7,4,5,2,27,7,251,78,92,146,65,37,408,261,Kansas
127,11,1,8,4,8,2,27,7,175,100,112,159,34,30,321,289,Iona
336,15,3,8,3,4,1,27,7,264,121,134,192,52,56,450,369,VCU
167,13,2,7,5,6,1,26,8,234,111,104,160,50,44,388,315,Memphis
225,12,0,11,4,3,0,26,4,156,73,79,150,41,27,276,250,Oral_Roberts
257,14,1,8,2,4,3,26,6,218,86,103,133,53,41,374,260,San_Diego_St
74,13,1,6,6,7,0,26,7,179,94,77,185,44,44,300,323,Drake
300,17,1,4,6,5,1,26,8,228,89,89,162,56,37,373,288,Texas
76,16,0,4,6,6,2,26,8,267,110,110,176,53,48,430,334,Duke
305,12,1,10,3,4,3,26,7,203,99,100,199,29,46,332,344,Toledo
138,13,0,9,6,4,0,26,6,187,80,107,187,34,34,328,301,Kent
329,13,2,6,4,6,2,25,8,218,89,116,142,44,44,378,275,Utah_St
284,15,2,6,2,4,3,25,7,231,92,121,133,52,50,404,275,St_Mary's_CA
