TeamName,Pred_Label,P_Q1,P_Q2,P_Q3,P_Q4
Duke,Q1,0.9523956,0.040528182,0.0070341774,4.2089905e-05
Houston,Q1,0.91789615,0.056825154,0.025137177,0.00014151938
St_John's,Q1,0.7820847,0.1785816,0.0387878,0.00054587197
Florida,Q1,0.94912374,0.037495457,0.013271684,0.000109094886
Memphis,Q1,0.9340442,0.038839485,0.02692151,0.0001947898
UC_San_Diego,Q3,0.045045853,0.057691384,0.73774654,0.1595162
Drake,Q3,0.30002683,0.154883,0.5193373,0.025752952
Auburn,Q1,0.98851085,0.010087898,0.0013947411,6.4996407e-06
Michigan_St,Q1,0.9026477,0.07575481,0.021268072,0.00032944378
UC_Irvine,Q3,0.094246626,0.06294778,0.70876485,0.13404068
High_Point,Q3,0.011086424,0.029346302,0.7376177,0.2219496
VCU,Q1,0.6469633,0.18762189,0.16202071,0.0033940522
Clemson,Q1,0.8777943,0.08821266,0.033524774,0.00046828753
Tennessee,Q1,0.92082095,0.062743664,0.016195387,0.00024000861
St_Mary's_CA,Q1,0.6456469,0.18737206,0.1633082,0.003672768
Louisville,Q1,0.96037406,0.035138518,0.0044125495,7.496953e-05
Wisconsin,Q1,0.90686196,0.07792553,0.014738862,0.00047364915
Akron,Q3,0.020322718,0.056203768,0.7779742,0.14549929
Grand_Canyon,Q3,0.036869116,0.15107173,0.6740223,0.13803682
McNeese_St,Q3,0.036877505,0.085340545,0.7424246,0.1353573
Texas_Tech,Q1,0.71970475,0.17665848,0.101387754,0.0022489636
Alabama,Q1,0.9677329,0.0266414,0.0056059756,1.9761215e-05
Robert_Morris,Q3,0.0040528276,0.0444211,0.6953523,0.25617376
George_Mason,Q3,0.32841048,0.23775421,0.42249274,0.011342577
Utah_St,Q1,0.43350384,0.23402165,0.3163313,0.016143205
Bradley,Q3,0.073223196,0.113459796,0.7363884,0.07692862
Michigan,Q1,0.9773777,0.021414762,0.0011796633,2.7806556e-05
Maryland,Q1,0.6365562,0.26002342,0.09915573,0.004264618
Liberty,Q3,0.045222346,0.05318156,0.7917351,0.109860934
New_Mexico,Q1,0.4096238,0.27256033,0.30485198,0.012963902
UNC_Wilmington,Q3,0.0034976718,0.015167741,0.78560805,0.1957265
Colorado_St,Q1,0.45568526,0.27632174,0.25512484,0.012868153
Gonzaga,Q1,0.73412323,0.18207906,0.080896884,0.002900823
Iowa_St,Q1,0.672926,0.20087206,0.12327049,0.0029314333
Creighton,Q1,0.66724956,0.27129218,0.058401044,0.0030572284
BYU,Q1,0.45744938,0.28717393,0.2457936,0.009583067
Oregon,Q1,0.9614477,0.03418148,0.0042284215,0.00014241644
Col_Charleston,Q3,0.011824346,0.036586992,0.81853944,0.13304926
Central_Conn,Q4,0.0028423197,0.01638736,0.18553811,0.79523224
Marquette,Q1,0.850309,0.13125867,0.017554097,0.00087818544
Arkansas_St,Q3,0.009430385,0.036686376,0.77807033,0.17581284
Boise_St,Q1,0.38049605,0.24955136,0.34399253,0.025960114
Miami_OH,Q3,0.006477706,0.04884065,0.6283003,0.31638128
SMU,Q1,0.6823682,0.15862162,0.15432632,0.004683787
Connecticut,Q1,0.46992055,0.34524632,0.17263828,0.012194866
Lipscomb,Q3,0.004199548,0.030766232,0.60815156,0.3568827
Utah_Valley,Q3,0.0119511355,0.033297177,0.56462204,0.39012972
San_Francisco,Q3,0.2401778,0.26791668,0.46574077,0.026164774
Missouri,Q1,0.48772407,0.31817383,0.1847698,0.00933234
Furman,Q3,0.00836161,0.035326395,0.6272012,0.32911074
Mississippi,Q1,0.8757739,0.08888483,0.033934996,0.0014062462
Kentucky,Q1,0.9255488,0.06715798,0.007063903,0.0002292923
Texas_A&M,Q1,0.94839835,0.045755386,0.0056589525,0.00018724601
St_Joseph's_PA,Q1,0.48199388,0.2571771,0.2508544,0.009974612
Arizona,Q1,0.8368785,0.13513021,0.026675131,0.0013161871
North_Texas,Q3,0.2843403,0.25663358,0.42533827,0.033687882
N_Colorado,Q3,0.008392185,0.031058835,0.4918598,0.46868923
Chattanooga,Q3,0.014880037,0.058741882,0.6272319,0.29914618
UCLA,Q1,0.6546779,0.25020406,0.08957199,0.0055460357
Montana,Q3,0.030776907,0.08299748,0.71265537,0.1735703
North_Alabama,Q4,0.00040816705,0.015320515,0.36365622,0.6206151
North_Carolina,Q1,0.9439605,0.05064345,0.0051493244,0.0002467069
Purdue,Q1,0.94918805,0.04756223,0.0031065473,0.00014311413
Troy,Q3,0.010806221,0.029475447,0.6940561,0.26566225
Yale,Q3,0.06718535,0.131674,0.59389967,0.20724091
Norfolk_St,Q4,0.0024794254,0.005347597,0.17134385,0.8208291
St_Bonaventure,Q3,0.1984034,0.19825669,0.5359882,0.06735176
St_Thomas_MN,Q4,0.0014052149,0.013470525,0.4003342,0.58479
Mt_St_Mary's,Q4,0.003019938,0.019767893,0.38587978,0.59133244
Belmont,Q3,0.039535444,0.08493324,0.6803433,0.195188
Xavier,Q2,0.3048632,0.4024611,0.27217266,0.020503035
Mississippi_St,Q1,0.8894143,0.07589688,0.032448072,0.0022406653
Bryant,Q3,0.007782581,0.033802558,0.5428148,0.4156001
UAB,Q3,0.023429023,0.09110685,0.7733923,0.11207186
Loyola-Chicago,Q3,0.053373747,0.1809635,0.71634585,0.049316976
Towson,Q3,0.0027249185,0.016970564,0.68245184,0.29785267
Dayton,Q1,0.42701614,0.32320473,0.24040689,0.009372272
Wake_Forest,Q1,0.65469605,0.23493277,0.10240716,0.00796403
Illinois,Q1,0.835702,0.1326269,0.029936017,0.0017349777
Kansas,Q1,0.9060805,0.08237719,0.0112835225,0.00025886175
Arkansas,Q1,0.60625225,0.26479867,0.11535948,0.013589606
Stanford,Q2,0.25247893,0.38368338,0.33310562,0.030732045
CS_Northridge,Q4,0.0013871561,0.014346247,0.33008656,0.65418005
San_Diego_St,Q1,0.6612347,0.21909156,0.11067844,0.008995337
G_Washington,Q3,0.10643825,0.19027719,0.623815,0.07946955
Winthrop,Q3,0.005032502,0.04668157,0.6806599,0.26762596
NE_Omaha,Q3,0.0048199077,0.026484502,0.64560574,0.32308984
American_Univ,Q3,0.017332884,0.11990478,0.49571195,0.36705035
Oklahoma,Q1,0.73278236,0.1737987,0.08728028,0.006138624
Kent,Q3,0.010957935,0.03600721,0.6047701,0.3482647
Marist,Q4,0.00016831188,0.016765762,0.21756189,0.765504
Samford,Q3,0.002133491,0.01790831,0.561273,0.41868526
MTSU,Q3,0.103126906,0.1162496,0.6354405,0.14518294
Santa_Clara,Q1,0.44413754,0.26964188,0.2606531,0.025567517
Vanderbilt,Q1,0.5679057,0.2735081,0.14540192,0.01318431
Georgia,Q1,0.7481526,0.19792712,0.050580263,0.0033399835
Oregon_St,Q3,0.026705788,0.16143997,0.60109216,0.21076205
UC_Santa_Barbara,Q4,0.0008122214,0.034881737,0.26990476,0.69440126
UC_Riverside,Q3,0.008585967,0.05447937,0.52906626,0.40786842
Vermont,Q4,0.0016505839,0.018534217,0.37688637,0.6029288
West_Virginia,Q1,0.7318926,0.2008096,0.064481065,0.002816699
Texas,Q1,0.54737127,0.24301068,0.17689295,0.032725032
SIUE,Q4,0.0012981765,0.03855768,0.3296228,0.6305213
WI_Milwaukee,Q3,0.019081129,0.0823946,0.6479706,0.25055364
South_Alabama,Q3,0.0027045028,0.02307915,0.62937915,0.3448372
Northern_Iowa,Q3,0.02922908,0.12612908,0.65823144,0.1864104
Indiana,Q1,0.8186949,0.1551679,0.024650162,0.0014870844
Quinnipiac,Q4,0.0004840787,0.008657197,0.3161609,0.6746978
Jacksonville_St,Q3,0.023672527,0.075200684,0.5908846,0.31024212
Washington_St,Q3,0.26876155,0.2788536,0.37797648,0.07440839
Villanova,Q2,0.32118824,0.50262505,0.13476044,0.04142631
Youngstown_St,Q4,0.000855108,0.024222706,0.23144536,0.74347687
Marshall,Q3,0.0038794377,0.040732782,0.5741579,0.38122985
SE_Missouri_St,Q4,0.0025978608,0.022398848,0.46364012,0.5113631
Alabama_St,Q4,1.5104412e-05,0.0003159575,0.056467332,0.94320166
Radford,Q4,0.007282422,0.032442525,0.4745317,0.48574328
Wichita_St,Q3,0.12788697,0.18570648,0.58341885,0.10298772
Baylor,Q1,0.68787324,0.21220635,0.095135994,0.0047843857
Cleveland_St,Q4,0.009025169,0.07326721,0.45242745,0.46528023
Illinois_St,Q3,0.026474113,0.123735614,0.6284396,0.2213506
N_Dakota_St,Q3,0.0036942663,0.020389277,0.60727686,0.3686396
